option,file,format,wall_ms,rss_kb,output_bytes,sha256
native,testdata/corpus/malformed.pdf,unknown,2,526996,129,41d02fbba86a263c25a577d919614d57020e63385de3cda8a43ac011ca2ea394
wasm,testdata/corpus/malformed.pdf,unknown,3,537516,129,41d02fbba86a263c25a577d919614d57020e63385de3cda8a43ac011ca2ea394
native,testdata/corpus/protected-docx-1.docx,unknown,1,533140,221,ef341039fde7b25b612ee855c9c1a8081852d9dae81ff23c40da0f7d9308b469
wasm,testdata/corpus/protected-docx-1.docx,unknown,4,543720,221,ef341039fde7b25b612ee855c9c1a8081852d9dae81ff23c40da0f7d9308b469
native,testdata/corpus/protected-docx-2.docx,unknown,1,539028,221,469955ebcb6a5d2618dbee3e3e14755001935d57e4ab16d48d69b2b365d41782
wasm,testdata/corpus/protected-docx-2.docx,unknown,3,549964,221,469955ebcb6a5d2618dbee3e3e14755001935d57e4ab16d48d69b2b365d41782
native,testdata/corpus/protected-docx-3.docx,unknown,1,545684,221,6f333769dbffae966ba897363a3cf65faf72e76ff16c2868bb05f6d8ece66f16
wasm,testdata/corpus/protected-docx-3.docx,unknown,3,556184,221,6f333769dbffae966ba897363a3cf65faf72e76ff16c2868bb05f6d8ece66f16
native,testdata/corpus/protected-docx-4.docx,unknown,2,551828,221,f0b702076cf2297a328eb97b02496b18b1e62d2fc9607c111c1cb6122ebf9651
wasm,testdata/corpus/protected-docx-4.docx,unknown,4,562400,221,f0b702076cf2297a328eb97b02496b18b1e62d2fc9607c111c1cb6122ebf9651
native,testdata/corpus/record-docx-1.docx,document,2,558228,272,cda772123eb4214b0fb4514a14c75d53fcf0aec2610aa9ad92b346a8de864166
wasm,testdata/corpus/record-docx-1.docx,document,4,568608,272,cda772123eb4214b0fb4514a14c75d53fcf0aec2610aa9ad92b346a8de864166
native,testdata/corpus/record-docx-2.docx,document,2,564116,272,0f7dbaad9fafc3f15084cd6e0f57d94c45baba2d3aa037e83b4ff8c68dd50ef4
wasm,testdata/corpus/record-docx-2.docx,document,3,574808,272,0f7dbaad9fafc3f15084cd6e0f57d94c45baba2d3aa037e83b4ff8c68dd50ef4
native,testdata/corpus/record-docx-3.docx,document,1,570260,272,4b8a56134002c5659f2a7f6bf9fa7c8355cea4abc015d2213689d45739026eda
wasm,testdata/corpus/record-docx-3.docx,document,4,581004,272,4b8a56134002c5659f2a7f6bf9fa7c8355cea4abc015d2213689d45739026eda
native,testdata/corpus/record-docx-4.docx,document,2,576404,272,dbd1d5891bd7fdc51218e8426fe875bdd57342aadf435ec5e5e736f5c78654b3
wasm,testdata/corpus/record-docx-4.docx,document,4,587216,272,dbd1d5891bd7fdc51218e8426fe875bdd57342aadf435ec5e5e736f5c78654b3
native,testdata/corpus/record-epub-1.epub,document,1,582548,291,6f9e7a0f135b0a1225f1f6fe828458961b0fa72aafba44018c49b12b592933a2
wasm,testdata/corpus/record-epub-1.epub,document,3,593412,291,6f9e7a0f135b0a1225f1f6fe828458961b0fa72aafba44018c49b12b592933a2
native,testdata/corpus/record-epub-2.epub,document,1,588692,291,69ff5c0926546ca0e423927759fe64162b5425591c6338a6b2ba1b10fb64b4f7
wasm,testdata/corpus/record-epub-2.epub,document,4,599604,291,69ff5c0926546ca0e423927759fe64162b5425591c6338a6b2ba1b10fb64b4f7
native,testdata/corpus/record-epub-3.epub,document,1,595092,291,41786c25252a052295efb45514dff2a171ed103e238225fd60d7ff0d558456d5
wasm,testdata/corpus/record-epub-3.epub,document,3,605800,291,41786c25252a052295efb45514dff2a171ed103e238225fd60d7ff0d558456d5
native,testdata/corpus/record-epub-4.epub,document,1,601492,291,640f338272299117ed4aaee92d65a65d29e567be9f0edaccd7c07c2e7982916e
wasm,testdata/corpus/record-epub-4.epub,document,4,612004,291,640f338272299117ed4aaee92d65a65d29e567be9f0edaccd7c07c2e7982916e
native,testdata/corpus/record-odt-1.odt,document,1,607636,270,af0d5020e8dabbccee6499e8eaaba8e91711f485b6de288b28ddd442dea5404e
wasm,testdata/corpus/record-odt-1.odt,document,5,618200,270,af0d5020e8dabbccee6499e8eaaba8e91711f485b6de288b28ddd442dea5404e
native,testdata/corpus/record-odt-2.odt,document,2,614036,270,aabef65649ccef54d36dcdfd490290a38196091f336faa7aadbc4bb5d7d39f77
wasm,testdata/corpus/record-odt-2.odt,document,4,624392,270,aabef65649ccef54d36dcdfd490290a38196091f336faa7aadbc4bb5d7d39f77
native,testdata/corpus/record-odt-3.odt,document,2,620180,270,908c3028944e4cdd9e629b545017c46e2afcf8fcee4d32780d05a64aa00c768c
wasm,testdata/corpus/record-odt-3.odt,document,4,630588,270,908c3028944e4cdd9e629b545017c46e2afcf8fcee4d32780d05a64aa00c768c
native,testdata/corpus/record-odt-4.odt,document,2,626324,270,296cdf82a969670d53bae538741bd7822d1a110d334b76572a2d483c4b8c5856
wasm,testdata/corpus/record-odt-4.odt,document,5,636788,270,296cdf82a969670d53bae538741bd7822d1a110d334b76572a2d483c4b8c5856
native,testdata/corpus/record-pdf-1.pdf,pdf,15,632468,2145,d6edd687b0005a24ac51ed41e027df78cf21653c4013674343ad705b8600f727
wasm,testdata/corpus/record-pdf-1.pdf,pdf,8,642988,2145,d6edd687b0005a24ac51ed41e027df78cf21653c4013674343ad705b8600f727
native,testdata/corpus/record-pdf-2.pdf,pdf,5,638612,2145,e306a3acca1e725cf5a54d545a5e9103bafc5c28e2acf1cc661b7e3c143005dd
wasm,testdata/corpus/record-pdf-2.pdf,pdf,6,649180,2145,e306a3acca1e725cf5a54d545a5e9103bafc5c28e2acf1cc661b7e3c143005dd
native,testdata/corpus/record-pdf-3.pdf,pdf,6,644756,2145,93cfb9a781d2e6fb8ea784a80da16c7b6afd781917a32e285dd2a062827fecb2
wasm,testdata/corpus/record-pdf-3.pdf,pdf,7,655600,2145,93cfb9a781d2e6fb8ea784a80da16c7b6afd781917a32e285dd2a062827fecb2
native,testdata/corpus/record-pdf-4.pdf,pdf,4,651412,2145,de1806fdc65284090c7f60fd1c5c9212f3bfddd259ae475e58a33dec4e9e9443
wasm,testdata/corpus/record-pdf-4.pdf,pdf,7,662040,2145,de1806fdc65284090c7f60fd1c5c9212f3bfddd259ae475e58a33dec4e9e9443
native,testdata/corpus/record-pptx-1.pptx,document,2,657556,417,99ef52e38c7bb5f0e3778214648ce1590f3acb28e1d2b8507e2fc6bc1d74f879
wasm,testdata/corpus/record-pptx-1.pptx,document,6,668368,417,99ef52e38c7bb5f0e3778214648ce1590f3acb28e1d2b8507e2fc6bc1d74f879
native,testdata/corpus/record-pptx-2.pptx,document,2,663956,417,6ef78e29685b38cd2dabee52123e15f51703ddaf5727e234b7800d1e8f86a43f
wasm,testdata/corpus/record-pptx-2.pptx,document,5,674712,417,6ef78e29685b38cd2dabee52123e15f51703ddaf5727e234b7800d1e8f86a43f
native,testdata/corpus/record-pptx-3.pptx,document,2,670356,417,7742a67291039799562727664d6f632236f5cbe42a78b36edd22044623825474
wasm,testdata/corpus/record-pptx-3.pptx,document,5,680996,417,7742a67291039799562727664d6f632236f5cbe42a78b36edd22044623825474
native,testdata/corpus/record-pptx-4.pptx,document,2,676500,417,61f76096e0cc2df30789d97b8230e89178238e2590d9db71c5ab34ef1b58414d
wasm,testdata/corpus/record-pptx-4.pptx,document,4,687216,417,61f76096e0cc2df30789d97b8230e89178238e2590d9db71c5ab34ef1b58414d
native,testdata/corpus/record-rtf-1.rtf,document,1,682900,270,2554e4e1121bcb4a663af9a419703a56c313e4bbc85bf8084c30cafc7268e998
wasm,testdata/corpus/record-rtf-1.rtf,document,3,693424,270,2554e4e1121bcb4a663af9a419703a56c313e4bbc85bf8084c30cafc7268e998
native,testdata/corpus/record-rtf-2.rtf,document,1,689044,270,ad810601fda90065a22040bc29d2d91a367c71b996ef0a4235d69e7f727f73e2
wasm,testdata/corpus/record-rtf-2.rtf,document,3,699616,270,ad810601fda90065a22040bc29d2d91a367c71b996ef0a4235d69e7f727f73e2
native,testdata/corpus/record-rtf-3.rtf,document,1,695188,270,0b58b565979445b9deb40045bb6e559685ba03f9b7af4c9e5996868a72e3c100
wasm,testdata/corpus/record-rtf-3.rtf,document,3,705852,270,0b58b565979445b9deb40045bb6e559685ba03f9b7af4c9e5996868a72e3c100
native,testdata/corpus/record-rtf-4.rtf,document,1,701588,270,c80f55c16d856bddf105fcdd8d4db941d180ae1f33a1db76b47790e4b47915d3
wasm,testdata/corpus/record-rtf-4.rtf,document,3,712072,270,c80f55c16d856bddf105fcdd8d4db941d180ae1f33a1db76b47790e4b47915d3
native,testdata/corpus/scan.pdf,pdf,4,707732,451,45a937b969858e8a766b912c7beb9c0725a45aecda39d17af4da6f470e0470f2
wasm,testdata/corpus/scan.pdf,pdf,4,718404,451,45a937b969858e8a766b912c7beb9c0725a45aecda39d17af4da6f470e0470f2
native,testdata/corpus/scanned-01.pdf,pdf,6,713876,457,9e114141943d27f08b311a36d22ec730a1fc882f9abb41398a3d34b222068eb9
wasm,testdata/corpus/scanned-01.pdf,pdf,4,724616,457,9e114141943d27f08b311a36d22ec730a1fc882f9abb41398a3d34b222068eb9
native,testdata/corpus/scanned-2.pdf,pdf,7,720276,456,d73a8b044fe7484e7db95e4fa43ea220e75387d4f1ea8c716b07ec58adb6fc44
wasm,testdata/corpus/scanned-2.pdf,pdf,4,730808,456,d73a8b044fe7484e7db95e4fa43ea220e75387d4f1ea8c716b07ec58adb6fc44
native,testdata/corpus/scanned-3.pdf,pdf,5,726164,456,2fd86881be305d332f16e411f1834aa9c5fd3385b120e10aaeff9a4f4d893256
